FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2004-Q1,56.74354,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2004-Q2,57.503633,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2004-Q3,57.693121,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2004-Q4,57.68257,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2005-Q1,57.012495,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2005-Q2,57.558068,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2005-Q3,57.212008,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2005-Q4,57.562796,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2006-Q1,57.64323,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2006-Q2,58.647812,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2006-Q3,58.156451,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2006-Q4,58.241622,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2007-Q1,57.589888,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2007-Q2,58.620167,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2007-Q3,58.80292,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2007-Q4,58.572885,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2008-Q1,58.085721,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2008-Q2,58.946899,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2008-Q3,58.741794,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2008-Q4,58.21344,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2009-Q1,57.031484,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2009-Q2,57.388699,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2009-Q3,56.831014,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2009-Q4,56.410096,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2010-Q1,56.009032,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2010-Q2,56.627244,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2010-Q3,56.101437,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2010-Q4,56.345114,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2011-Q1,56.183051,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2011-Q2,56.681665,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2011-Q3,56.309665,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2011-Q4,56.181482,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2012-Q1,55.819537,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2012-Q2,56.460807,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2012-Q3,56.159243,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2012-Q4,55.840972,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2013-Q1,54.748696,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2013-Q2,55.0379,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2013-Q3,54.991284,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2013-Q4,55.132593,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2014-Q1,54.633381,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2014-Q2,55.353392,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2014-Q3,55.54253,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2014-Q4,55.608462,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2015-Q1,55.172537,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2015-Q2,56.020028,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2015-Q3,56.462929,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2015-Q4,56.392118,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2016-Q1,56.105862,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2016-Q2,57.498981,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2016-Q3,57.401924,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2016-Q4,57.233352,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2017-Q1,57.081793,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2017-Q2,58.012825,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2017-Q3,58.256931,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2017-Q4,58.088423,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2018-Q1,57.615744,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2018-Q2,59.041104,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2018-Q3,58.889344,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2018-Q4,58.537286,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2019-Q1,58.196978,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2019-Q2,59.424272,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2019-Q3,59.363185,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2019-Q4,59.214592,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2020-Q1,58.315384,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2020-Q2,56.640425,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2020-Q3,57.365952,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2020-Q4,57.544477,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q1,56.066286,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q2,58.18831,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q3,59.161019,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q4,59.492931,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q1,59.100356,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q2,60.462567,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q3,60.283463,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q4,60.723967,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q1,60.627308,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q2,61.613873,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q3,61.561669,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q4,62.114889,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q1,61.568886,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q2,62.289228,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q3,62.566258,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q4,62.29614,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2025-Q1,62.47752,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2025-Q2,62.701995,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2025-Q3,62.524604,,
